label,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,x_27,x_28,x_29,x_30,x_31,x_32,x_33,x_34,x_35,x_36,x_37,x_38,x_39,x_40,x_41,x_42,x_43,x_44,x_45,x_46,x_47,x_48,x_49,x_50,x_51,x_52,x_53,x_54,x_55,x_56,x_57,x_58,x_59,x_60,x_61,x_62,x_63,x_64,x_65,x_66,x_67,x_68,x_69,x_70,x_71,x_72,x_73,x_74,x_75,x_76,x_77,x_78,x_79,x_80,x_81,x_82,x_83,x_84,x_85,x_86,x_87,x_88,x_89,x_90,x_91,x_92,x_93,x_94,x_95,x_96,x_97,x_98,x_99,x_100,x_101,x_102,x_103,x_104,x_105,x_106,x_107,x_108,x_109,x_110,x_111,x_112,x_113,x_114,x_115,x_116,x_117,x_118,x_119,x_120,x_121,x_122,x_123,x_124,x_125,x_126,x_127
hsa-miR-335-5p,0.07094077,-0.073423475,-0.51428425,0.4026984,0.3163681,0.07477157599999999,0.11870847,-0.048465114000000004,0.096179135,0.063292995,-0.80752325,0.28016690000000005,-0.2190846,-0.026546672,-0.67574906,0.2968295,0.45323592,0.15242791,-0.49117425,0.30333298,0.26186857,-0.00926563,0.020867031,0.13560662,0.22816457,0.31129625,0.36695886,0.15852198,-0.24062364,0.13511458,0.3858012,0.15558049,-0.12159089999999999,-0.32036158,-0.40407002,-0.11465897,0.19800743,-0.098124936,-0.39000928,-0.08374593400000001,0.4656755,-0.74429095,0.11490462,-0.41623887,-0.21177201,0.34755759999999997,-0.22592359999999997,-0.30141222,-0.5126384,0.47841606,-0.053457335,0.60567725,-0.5288556999999999,0.16730767,-0.009474939,0.5438034,-0.16527579999999997,0.6432241999999999,-0.15516031,-0.43292394,0.94043964,0.22340749,0.22633757,0.24515364,0.6792619000000001,-0.45976102,0.43695056,-0.11334838,-0.2237913,-0.21373899999999998,-0.59052813,0.71325094,0.12491655,-0.20443894,0.10967289,0.35784182,0.1316477,-0.6037986,-0.42602559999999995,-0.2227243,0.10283856,-0.30139467,-0.12762535,0.109454334,-0.5633121,0.42455474,0.16184014,-0.43833297,-0.27535623,-0.21890226,-0.032023136,0.41356054,-0.11539008,-0.21751378,-0.96614915,0.048769772,-0.16341236,-0.3934811,0.35911742,0.21506414,-0.28786936,-0.040998902000000004,0.29042435,0.31464875,0.18277042,-0.11761421,-0.11554073,0.008896474,0.11273053,0.25041965,-0.3019809,0.13039334,-0.07701727,-0.001590236,-0.30078235,-0.30341807,0.064299546,-0.00575641,-0.012347914,-0.06786944,0.43116662,-0.302043,-0.15866143,-0.26169899999999996,-0.47531372,-0.7990662,-0.22252746,0.067160785
hsa-miR-16-5p,-0.059770584,0.08590148,-0.20841998,0.5534787,0.29592140000000006,-0.5273479,-0.014825851000000001,-0.16554958,0.06628783,-0.32161126,0.005475818,0.021901976,0.66317844,0.35572457,-0.49646455,-0.04596264,-0.07590957,0.53769565,-0.13101599,0.20031206,0.110507116,0.064828284,0.022299211,0.47972655,0.23664737,0.0681632,-0.37125388,0.15824889,0.32412753,-0.017011203,0.10619324,-0.11820431,0.18314809,-0.07342778,0.062067736,0.12609223,0.074480996,-0.60000277,0.053900699999999996,-0.33129653,-0.15554868,-0.29867676,-0.24134457,-0.06352194,0.1984235,0.8211598,0.26165083,-0.062206514000000004,-0.5500404999999999,-0.509158,-0.42961925,0.28544159999999996,-0.40081483,0.36444405,-0.36225122,0.30848444,-0.07005337,0.26162362,0.13348198,-0.07298463599999999,0.13659179999999999,-0.000337326,0.45118630000000004,-0.05629905,-0.4662687,0.045968086,0.13002439,-0.18386336,0.12655996,0.060491387,0.08725567,0.12943825,0.5596929,-0.12781253,-0.14070193,-0.007085571999999999,0.0630881,-0.34675908,-0.1959158,0.3252009,0.38856593,0.39240205,-0.33723053,0.0818042,-0.07320021,0.6141798,0.33106422,-0.24734299999999998,-0.7084165,0.532447,0.14950751,-0.27846754,-0.3917421,0.056625746,-0.30899656,-0.29715908,-0.51411486,-0.19493487,0.65413946,0.5120182,-0.14191869,0.31841022,0.11937839,0.25056842,0.22830348,0.16428214,-0.17608501,0.6600194,-0.07293150000000001,0.32413822,0.00475387,-0.06841711,-0.05415795,-0.19771989,-0.5500651999999999,0.16759402,-0.5460204000000001,-0.34702557,0.15360506,-0.08367797,0.06520185,-0.22348337,-0.34773904,-0.03571745,-0.6182462,-0.1061846,-0.54165936,0.23399223
hsa-miR-8485,0.31304008,0.29973832,-0.10490061,0.5761775,0.10164821,0.039491344,0.054584287,-0.1330964,-0.34120320000000004,-0.09409684,-0.02516783,-0.009168888,-0.14625455,0.034736674,-0.5022986,-0.06957356,0.057095304000000006,0.48700878,0.02808255,0.10897655,0.31652808,-0.32565546,-0.31860745,-0.21396258,0.20676920000000001,0.62213844,-0.58610934,0.17161831,-0.06588627,0.15110189,0.14599356,-0.12897065,-0.34791327,-0.34171358,-0.5613638000000001,-0.13054074,-0.13942383,-0.0014884529999999998,-0.3422929,-0.23639995,0.033493727,-0.2556555,-0.4377365,0.014254112,-0.22342637,0.32416815,0.39078215,0.038222045,-0.45888606,0.09181622,-0.26630285,0.35882473,-0.15548897,0.5329932,0.1280648,0.04957656,0.12683524,-0.04504794,-0.38986397,-0.09771496,0.14774804,-0.23457883,0.25341220000000003,-0.18294623,0.3591281,-0.42124295,0.09628159,-0.6276038,-0.34598726,-0.08395637,-0.3110476,0.25463223,0.3517415,0.15593086,-0.19448042,0.19383870000000003,0.05230194,-0.12489335,-0.4947322,0.03887493,-0.08207105,0.36164784,-0.31561533,0.38888374,-0.32024008,0.051202763,0.46811947,-0.013579451000000001,-0.20159392,-0.07226595,0.36484692,0.11899472,-0.34238032,-0.09867551,-0.074371226,-0.1307441,-0.49153063,0.07581729400000001,0.21546768,0.46696329999999997,-0.017798461,0.23821376,0.351706,0.49311715,-0.18733260000000002,-0.020036664,-0.03110578,0.55735296,-0.050163228,0.9137413000000001,0.17435957,0.29562062,-0.38737223,-0.29760066,-0.5343215,-0.064233385,0.13291475,-0.516944,0.043857846,-0.06580524,0.5070498999999999,-0.53953826,-0.4404871,-0.013082403999999999,0.011944281999999999,-0.46735713,-0.31699342,-0.07789793
hsa-miR-26b-5p,0.5380946999999999,0.3309585,-0.15862128,0.09072554,0.32479823,0.08607218,0.09802733,0.14104149,0.31215358,0.10645387,-0.49207714,0.021051161000000002,-0.003074206,0.322326,0.10220944,0.5285361999999999,-0.23766282,0.10402768,0.09532744,-0.042340808,0.14799613,0.071105875,0.20340417,0.67825043,0.29471690000000006,0.41731158,-0.009859475999999999,-0.2726918,0.008340323,0.023595609,-0.09120891,0.5260238,0.052448317,-0.44254914,-0.19600415,0.2213025,-0.03451319,-0.24933217,-0.18235278,-0.85581154,-0.30134859999999997,-0.37825388,0.32162535,0.37943405,0.0830575,0.3333756,0.30280063,-0.36895636,-0.04049173,0.06308302,0.21502710000000003,-0.3184743,-0.1675978,0.20458923,-0.33581802,0.3832014,-0.73341066,0.15800843,-0.09265863,0.00570923,-0.015192773,0.19572459,0.34578153,0.12850332,0.36566883,-0.10797148,0.03337592,0.29189554,0.09291581,-0.24654736,-0.18633814,0.32672495,0.68020034,-0.19027203,0.019408956,0.11905182,0.31029454,-0.35687387,-0.51979655,0.50857323,0.08048284,-0.35182092,-0.17334932,0.10822226,-0.16137812,0.31106117,0.44967476,0.14693141,-0.06962710000000001,-0.057738975,0.016485449,-0.112469085,0.18362409,0.008067025,-0.55307996,-0.30691564,0.26948896,0.21455549,0.47080779999999994,0.29543048,0.040199738,0.23054546,0.50116146,0.4390024,-0.18036175,-0.21116295,0.37719828,-0.09011992,-0.41491637,0.66583633,-0.31492618,-0.0928199,-0.7789,0.21575908,-0.6173648,0.007700306999999999,0.007522191,-0.25922979999999995,-0.14215854,-0.16687027,0.60611564,0.06572725,-0.4503460999999999,-0.16650943,-0.41804028,-0.5919182,-0.20026952,0.13305096
hsa-miR-93-5p,0.59653556,-0.11819794,0.12508948,0.26980424,0.06118272,-0.24686696,0.060196333,0.03592135,-0.16865118,-0.028241089,-0.2792947,0.19963984,-0.034992922,0.035511247999999995,-0.14913468,0.62252563,0.35014290000000003,0.5420109000000001,-0.13840938,-0.04963119999999999,0.28485858,0.26310188,0.23654428,-0.14040159,-0.18990654,0.25313379999999996,-0.23269586,-0.36670887,-0.28304088,0.10404762,0.23751706,0.49572322,-0.107120365,-0.454768,-0.44781336,0.05289449,0.33826014,0.021445056,0.08226989999999999,-0.40634948,-0.1599414,-0.624499,0.13506325,0.22031439999999997,-0.026355267999999998,0.30951026,0.5487129,0.00174113,-0.6430664,0.23799987,-0.17579344,0.36579096,-0.23944123,-0.15024625,-0.348825,0.26336679999999996,-0.40121412,0.026809503999999998,-0.021195645,-0.27811623,0.35341457,-0.006474759,0.7045038,0.085957445,0.1779874,0.053054914,0.17455187,-0.13379571,0.15618387,-0.32249168,0.11699993,0.1436188,0.40149325,0.16991986,-0.17989446,0.13800871,0.14399855,-0.5681019,-0.2944987,0.3008436,-0.41487676,-0.15196656,-0.6067292,0.031349927,-0.027588436,0.45251320000000006,0.4551831,-0.11138564,0.45469916,-0.10708129400000001,-0.052567842999999996,-0.17055674,0.034289874,-0.001136276,0.19470145,-0.08823242,-0.55433035,-0.28862596,-0.063319266,0.27226263,-0.073200904,0.508726,0.5199433,0.30410326,-0.10792309,0.06975002599999999,0.28851363,0.35672129999999996,0.07462139,0.07312958,0.22242932,0.05091631,0.31231284,0.023408032999999998,-0.27902016,0.026762192999999997,-0.036826365,-0.26614282,0.07525163,0.000850662,0.45249090000000003,-0.2183748,-0.519778,0.5494653,-0.48372600000000004,-0.38034084,0.020025788,-0.22321816
hsa-miR-17-5p,-0.20199461,-0.36042985,-0.5339253,0.36732277,0.008661466999999999,-0.29808626,-0.04386806,-0.029619811,-0.10068931,0.28786257,-0.54888964,0.13874753,0.06539381,0.14428815,-0.39886805,0.06483216,0.26687598,0.037227493,0.06948932,0.19750969,-0.19992127,0.06069517,0.11478163,0.29211587,0.10217113,0.508563,-0.42951104,0.04935859,0.019006746,0.085615836,0.39211565,-0.060353447000000005,0.18814415,-0.16168305,-0.18335158,-0.17506911,0.31572703,-0.19556603,0.35312885,-0.07025367,0.13822621,0.08791273,0.010684721000000001,0.3480547,-0.03389499,0.3431336,0.16067575,0.37654840000000006,-0.64556533,-0.059450800000000005,-0.43354560000000003,0.046506304000000005,-0.57371044,-0.07092681,-0.11549521,0.099884674,-0.27154595,-0.045404735999999994,-0.110887155,-0.03697377,-0.0181014,-0.29599234,0.22655335,0.124440804,0.11350072,0.12611338,0.23509094,-0.3798282,-0.5112764,-0.2945589,-0.30027404,0.42431584,0.18706313,0.19964556,0.35665917,-0.44305944,-0.019518621,-0.09549923,-0.39177817,0.66523194,-0.18900517,0.45490482,-0.1526533,-0.4304302,-0.3424256,0.33619285,-0.20026778,0.13220873,-0.37835553,-0.08922718,0.11502493,0.09039328,-0.003680306,-0.21419138,-0.29308394,-0.20110442,-0.16339892,-0.033742536000000004,0.398044,0.034689683,-0.053439855999999994,0.0892539,-0.07349451,0.03019184,-0.3510995,0.34450617,0.6288643,0.46956417,-0.36793968,0.21381879,0.11585271,-0.34104142,-0.23329239,-0.2598644,-0.52349776,-0.23584139999999998,0.3404687,0.5298513000000001,0.50163364,-0.28815177,0.3619733,-0.3745865,-0.36651725,0.30010894,-0.6980643,-0.7769439,0.13298365,0.23829912
hsa-miR-92a-3p,0.05954115,-0.04670102,-0.5155,0.19961479999999998,0.44358876,-0.098138385,-0.050312363,-0.15435347,-0.10936719,-0.11771858,-0.68424547,0.5893251,-0.01184845,0.3319667,-0.14561209,0.27173907,-0.22814712,0.46473116,-0.39847118,0.44024709999999995,-0.00850928,-0.16829656,-0.16057113,0.07165046,0.3105559,0.38891715,-0.13273089999999999,0.022207405,0.046737693,-0.18204354,0.38627148,-0.006063742,-0.4842188,-0.63207465,-0.24534845,-0.04253628,0.05258664,-0.42709363,-0.10052736,-0.3513921,0.0037099409999999996,-0.13751549999999998,-0.19228858,0.086639754,-0.057584500000000004,0.5377373000000001,-0.39307636,0.06708655,-0.70550436,0.19156344,-0.46804650000000003,0.27195954,-0.51167756,-0.07880656,-0.09046781,0.26441076,-0.12612477,0.04090023,-0.33013505,-0.21299405,0.91923183,0.1259153,0.04513367,0.21007007,-0.073860385,0.039472148,0.5490444999999999,-0.23252979,-0.4387455,0.21077706,0.2947984,0.41402426,0.5269332,-0.006168066,0.43860699999999997,0.771858,-0.20731062,0.055015173,-0.42045456,-0.08523936,0.26876578,-0.05946406,0.12501198,-0.34420192,-0.30698746,0.29363522,0.14001082,0.11036386,-0.06397664,-0.2156654,-0.043113372999999997,-0.048455905,-0.33920527,-0.34414974,-0.26713356,-0.3826134,-0.10766429,0.02032164,0.1309454,0.5431222,0.034932945,0.27703592,0.3921942,0.51140314,-0.24601912,0.099684805,-0.07659153,0.33598778,0.06709048,-0.10436977,-0.5936154,0.52508503,0.026578084,0.08413316,-0.38580814,0.3969798,-0.21599482,-0.22253028,-0.10873945,-0.039211337,0.49212510000000004,0.27131248,-0.46318084,-0.12928112,-0.96257997,-0.4736393,-0.22725551,0.06418748
hsa-miR-124-3p,0.27140886,0.08062364,-0.12628494,0.38351524,0.059679415,-0.18760054,0.108641885,0.17902878,-0.5005632000000001,0.3307507,-0.7177439,0.42340374,-0.34425083,0.40886614,-0.075661376,0.22747251,0.64885837,0.32460877,-0.22084723,0.23504971,-0.11203204,0.059297632,-0.34660605,0.003623812,-0.45483720000000005,0.83489436,-0.5559034,0.16367002,-0.32098952,-0.096186906,-0.053092055,-0.051411383,0.032915913,0.05264842,-0.51057804,-0.13631265,-0.2602947,-0.672822,0.21711533,-0.32568172,0.46214423,-0.119321436,-0.6663323,0.36311245,-0.6510286999999999,0.39170685,-0.5192815,0.51924485,-0.31759440000000005,-0.046877052999999995,-0.0793327,0.28593916,-0.48007444,0.14411171,-0.20505168,0.61939234,-0.35420257,0.369278,-0.40938386,0.0797382,0.5589714,-0.009086495,0.5983995,0.5890333999999999,0.35063259999999996,-0.045259487,0.17842267,-0.050868403,-0.006602416,-0.26624164,-0.23569089,0.062156100000000006,0.41579499999999997,-0.2191702,-0.51627475,0.07978607,0.38845524,-0.617799,-0.3211054,0.7238775,-0.06793916,-0.11927739,-0.54621965,-0.11841575,-0.34374099999999996,0.31935078,-0.26866305,0.2251429,0.29149252,0.18049414,-0.26289108,-0.08874444,0.07336811,0.37754723,-0.48670158,-0.5755140999999999,0.48140085,0.7842631,0.03063282,0.6002603,0.23038404,-0.4266402,0.13811886,0.23716988,-0.38449794,-0.059158444000000004,-0.0009259919999999999,0.3367991,0.04594544,0.5079965999999999,-0.012213136000000001,-0.38716209999999995,-0.68133587,-0.28281649999999997,-0.34472743,0.2007259,-0.11179575,0.07666776,-0.08217563,0.39994135,0.18224347,-0.6362744,-0.10074355,0.16859049,-0.19670333,-0.3845118,0.07309506,-0.120192125
hsa-miR-106b-5p,0.19862022,0.12434939,-0.60627633,0.15652218,-0.22155008,-0.07294958,-0.6692001000000001,0.11291184,0.17354587,-0.10745782400000001,-0.5526198,-0.05116703400000001,-0.32197797,-0.27450195,-0.5760502,0.04211256,-0.03915213,0.09754669,-0.39938638,-0.43672848,0.30025703,0.08982727,-0.7366776999999999,-0.049632944000000005,-0.23694734,-0.074341565,-0.11218137,-0.28632602,0.44668314,-0.26956603,0.22858629,0.35604367,-0.14573398,-0.34018967,-0.11241378,-0.37381262,0.043356112999999995,-0.21693943,-0.272444,0.09130522,0.5390206999999999,-0.43689066,0.050653473,0.42756876,-0.10950499999999999,0.5225153,-0.18795133,-0.02665265,-0.20971535,0.06747627,-0.39427143,0.29223709999999997,-0.30158445,0.18760209,0.37827137,0.35310790000000003,-0.44125329999999996,-0.05001451,-0.44523096,0.008373618000000001,0.010783698999999999,0.52788794,-0.18582495,0.57504046,0.040437106,0.19917910000000003,0.18596715,-0.22030976,-0.47411096,-0.66912276,-0.12522559,0.013485852,0.4872616,-0.28422284,-0.012048555,0.82370013,-0.28812522,-0.024991592000000003,-0.12334959,0.39878422,0.53643125,0.11799205,-0.5144637,-0.14255168,-0.10854748,0.40242255,0.22425340000000002,0.43692020000000004,-0.33096787,-0.04463342,-0.033101693,-0.3114438,-0.32814395,-0.1448715,-0.94696057,0.2888733,-0.56434816,0.3862835,0.6544327,0.20608866,0.007311407,0.5489335999999999,0.07003148,0.33516958,-0.14511661,-0.37531683,0.55714065,0.024103213,-0.31173334,0.45129830000000004,0.25265995,0.019605303,-0.11818982,0.05417360400000001,-0.05851707,0.119163625,0.039358877,-0.29043978,0.40497140000000004,-0.16724539,0.56303924,0.10117555,-0.09126013,-0.14234418,-0.77337366,-0.55109316,-0.32249525,-0.076705605
hsa-miR-20a-5p,0.38021386,0.40977916,-0.32082304,0.11538683599999999,-0.30079597,-0.26143613,-0.34001648,-0.38268358,0.54351383,-0.10983743,-0.22079780000000002,-0.2942261,0.44069874,0.5981725,0.21200109,0.34906992,-0.47767070000000006,0.8417446,0.108248174,-0.15892741,-0.24713038,0.31791466,0.097648524,0.23820063,0.54451036,0.06257851,-0.6477991999999999,0.013011264,-0.3451585,-0.3842547,0.15737267,0.056025352,0.27061456,-0.15706186,-0.6841904000000001,-0.04846464,0.27238476,-0.62380683,0.05683988,-0.536091,0.012489257,-0.23736887,0.013733123,0.35493866,0.23570879999999997,-0.02094835,-0.11455217,0.6243914,-0.21166721,0.41922283,0.3637335,0.4309415,-0.33864203,0.23900712,-0.29360956,0.6706754,-0.13840565,-0.07499674,-0.05725115,0.033463165,-0.10466020599999999,0.4646542,0.20773295,0.4621843,-0.08828217,0.21062134,0.40255687,-0.44661137,-0.30324203,-0.08606886,-0.29227838,0.15860738,0.20734924,0.1452259,-0.049642794000000004,0.24914789999999998,0.10633939,-0.07740278,-0.2517379,0.35190040000000006,0.17077295,0.3544137,0.23398662,0.12841676,0.04090518,-0.22872037,0.26129220000000003,-0.055421486,-0.29650572,0.30760446,0.052919574000000004,0.32187328,0.16028336,-0.0045296270000000005,-0.36229825,-0.1361753,-0.37471214,0.30749685,0.39322188,0.7779517,0.029322874,-0.10534549,0.22087029,0.14660126,0.10959076,0.13038167,0.07202064,-0.18956965,-0.09822482,0.44386628,-0.53743035,0.1800654,0.10932509,0.20729662,0.024077516,0.012235417,-0.24243089999999998,-0.26471433,-0.11933416,0.23022968,0.6665061,-0.46623936,-0.7318146,-0.09947701,-0.73337907,-0.0995692,0.19582488,0.5114512999999999
